300534062158460	
300534062158480	
300534060051570	
300534060251600	
300534060649670
300234063265890;4401601
64736820;3201632
62721330;5501521
300234063894840;5201563
070885;6903025
10059130;5600544
13114210;5600550
127479;2901716
127478;2901715
66391380;4401850
79236;1700521
127473;2901710
82442;6900824
300234065516790;4301555
82440;6900827
82447;4100998
127476;2901713
127475;2901712
127474;2901711
300234066309420;5401663
300234063157510;1401522
300234062650110;3200545
64824280;1701555
60298700;2200913
300234063949890;4101584
88395;6900938
88394;1901191
88397;1901194
88396;1901193
88391;1901173
88390;6900961
88393;1901190
60955910;5600555
88399;1901196
88398;1901195
300234063347730;2201524
4012528600;2300593
63949940;4601671
353888;4901821
353882;4901818
515066;4902440
73320_1;6100662
0056;5902105
19970;4300918
16709;59019
16704;1900078
300234065708800;1601572
100010;4800598
17251;5200903
63024;5100808
63025;5100819
63026;5100821
63027;2300675
63020;5100796
63021;5100797
63022;5100813
63023;5100801
9256;5904596
9257;5904597
9254;5904395
9255;5900179
63028;2300676
9253;6901247
49569;4300518
21618;5500590
46794;1901625
49567;4300517
49566;4300502
21611;4300916
21612;69056
64839010;5401556
300234063996470;1301513
30836_1;6100792
9824555;3100986
633321;5905814
9824559;1500510
300234011887820;6500591
44798;3300633
44791;5902298
44790;5902297
44793;3300585
44792;5902299
44795;3300682
44794;3300628
44797;3300685
44796;7100627
300234067547720;1501671
67016130;4402504
300234063259240;2301581
300234068340640;6102776
90310;3200722
90311;3200671
90312;3200690
90313;3200701
90314;3200691
90316;3100787
90317;4100967
90318;3200905
90319;4100960
105453;2901522
300234064879040;5102669
66311050;2301792
300234063933810;5401519
300234011544090;2600557
82443;5300606
67647540;3201792
27139_1_2;1300508
82441;6900828
127470;2901707
300234066534040;4101666
63677970;1501526
82446;5300572
300234066438880;6202636
10132120;6200695
47582_1;5100545
300234011845550;6200686
54170;3200619
54171;1500637
54172;1500649
54174;1400915
54175;4100569
2736238;5300551
54178;1300606
54179;1500917
300234065483890;3201685
62084;3100993
62081;3300669
62080;3300667
62083;3100992
62082;3100991
300234065481940;1401744
29769;2900245
300234064831280;5401546
29764;2900431
29761;2900430
29760;2900429
1177;4901714
1176;1901724
1175;1901723
1173;4901676
1172;4901675
1171;4901674
1170;4901673
23504;5100539
23503;5100659
300234067540730;1701633
1178;4901706
L4;6200030
27619;4900454
27618;6500603
27617;4900452
27616;4900451
27615;4900450
44707;2300924
97939;2901064
97938;2901044
59038;5901119
59039;5901120
59032;3900558
59033;3900561
59030;3900556
59031;3900557
59036;4900688
97934;5901986
97937;2901059
59035;3900563
